参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
品种,品种,,object,输出参数,bond_debt_nafmii; futures_rule; futures_delivery_dce; futures_delivery_czce; futures_delivery_shfe; futures_contract_info_dce; futures_contract_info_gfex; futures_contract_info_cffex; macro_usa_cme_merchant_goods_holding,中国债券数据; 期货数据; 中国期货数据; 宏观数据,SCP,9,9,,
基金公司,基金公司,,object,输出参数,qdii_e_index_jsl; qdii_e_comm_jsl; qdii_a_index_jsl; fund_rating_all; fund_rating_sh; fund_rating_zs; fund_rating_ja; fund_aum_em; fund_aum_hist_em,QDII数据; 基金数据,招商基金,9,9,,
基金名称,基金名称,,object,输出参数,stock_fund_stock_holder; fund_info_index_em; fund_etf_category_ths; fund_etf_spot_ths; fund_value_estimation_em; fund_announcement_dividend_em; fund_announcement_report_em; fund_announcement_personnel_em; amac_fund_info,股票数据; 基金数据; 中国基金数据,银华沪深300价值ETF,9,9,,
总股本,总股本,,float64,输出参数,stock_share_change_cninfo; stock_fhps_em; stock_fhps_detail_em; stock_zh_a_gdhs; stock_zh_a_gdhs_detail_em; stock_info_bj_name_code; stock_hold_change_cninfo; stock_value_em; stock_zh_a_gbjg_em,股票数据,,9,9,,
5分钟涨跌,5分钟涨跌,,float64,输出参数,stock_zh_a_spot_em; stock_sh_a_spot_em; stock_sz_a_spot_em; stock_bj_a_spot_em; stock_new_a_spot_em; stock_cy_a_spot_em; stock_kc_a_spot_em; stock_zh_b_spot_em,股票数据,0.00,8,8,,
60日涨跌幅,60日涨跌幅,,float64,输出参数,stock_zh_a_spot_em; stock_sh_a_spot_em; stock_sz_a_spot_em; stock_bj_a_spot_em; stock_new_a_spot_em; stock_cy_a_spot_em; stock_kc_a_spot_em; stock_zh_b_spot_em,股票数据,28.47,8,8,,
amount,amount,amount,float64,输出参数,stock_zh_a_daily; stock_zh_a_hist_tx; stock_zh_a_new; stock_sector_detail; bond_cb_index_jsl; stock_zh_index_daily_tx; stock_zh_index_daily_em; index_us_stock_sina,股票数据; 债券数据; 指数数据,,8,8,,
交易日期,交易日期,,object,输出参数,stock_gpzy_profile_em; stock_gpzy_pledge_ratio_em; stock_comment_detail_scrd_desire_em; stock_lhb_yyb_detail_em; stock_lhb_jgmx_sina; stock_dzjy_sctj; stock_dzjy_mrmx; stock_dzjy_mrtj,股票数据,2014-03-07,8,8,,
发行价格,发行价格,,float64,输出参数,stock_xgsglb_em; stock_ipo_summary_cninfo; stock_add_stock; stock_qbzf_em; bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_corporate_issue_cninfo; bond_cov_issue_cninfo,股票数据; 债券数据,,8,8,,
变动原因,变动原因,,object,输出参数,stock_share_change_cninfo; stock_share_hold_change_sse; stock_share_hold_change_szse; stock_share_hold_change_bse; stock_hold_change_cninfo; stock_hold_management_detail_em; stock_hold_management_person_em; stock_zh_a_gbjg_em,股票数据,,8,8,,
均价,均价,,float64,输出参数,stock_zh_a_hist_min_em; stock_board_industry_summary_ths; index_zh_a_hist_min_em; index_analysis_daily_sw; index_analysis_weekly_sw; index_analysis_monthly_sw; fund_etf_hist_min_em; fund_lof_hist_min_em,股票数据; 指数数据; 基金数据,,8,8,,
年初至今涨跌幅,年初至今涨跌幅,,float64,输出参数,stock_zh_a_spot_em; stock_sh_a_spot_em; stock_sz_a_spot_em; stock_bj_a_spot_em; stock_new_a_spot_em; stock_cy_a_spot_em; stock_kc_a_spot_em; stock_zh_b_spot_em,股票数据,-9.53,8,8,,
当月,当月,,int64,输出参数,macro_china_fdi; macro_china_new_financial_credit; macro_china_ppi; macro_china_gdzctz; macro_china_czsr; macro_china_whxd; macro_china_wbck; macro_china_consumer_goods_retail,中国宏观数据; 宏观数据,11200250.0,8,8,,
持股市值,持股市值,,float64,输出参数,stock_hsgt_stock_statistics_em; stock_hsgt_institution_statistics_em; stock_hsgt_hist_em; stock_hsgt_individual_em; stock_hsgt_individual_detail_em; stock_fund_stock_holder; stock_report_fund_hold; stock_report_fund_hold_detail,股票数据,,8,8,,
指数,指数,,float64,输出参数,stock_market_pe_lg; stock_index_pe_lg; stock_market_pb_lg; stock_index_pb_lg; spot_goods; index_kq_fz; index_kq_fashion; index_hog_spot_price,股票数据; 指数数据; 期货数据,,8,8,,
机构名称,机构名称,,object,输出参数,stock_hsgt_institution_statistics_em; stock_hsgt_individual_detail_em; stock_industry_change_cninfo; stock_share_change_cninfo; stock_allotment_cninfo; stock_price_js; amac_person_fund_org_list; amac_person_bond_org_list,股票数据; 中国基金数据,,8,8,,
统计时间,统计时间,,object,输出参数,stock_gpzy_industry_data_em; macro_china_society_electricity; macro_china_society_traffic_volume; macro_china_postal_telecommunicational; macro_china_central_bank_balance; macro_china_insurance; macro_china_supply_of_money; macro_china_foreign_exchange_gold,股票数据; 中国宏观数据,2024-12-20,8,8,,
赎回状态,赎回状态,,object,输出参数,fund_purchase_em; fund_etf_category_ths; fund_etf_spot_ths; fund_open_fund_daily_em; fund_money_fund_info_em; fund_financial_fund_info_em; fund_graded_fund_info_em; fund_etf_fund_info_em,基金数据,,8,8,,
交易日,交易日,,object,输出参数,stock_gsrl_gsdt_em; stock_comment_em; stock_comment_detail_zlkp_jgcyd_em; stock_comment_detail_scrd_focus_em; stock_hsgt_fund_flow_summary_em; futures_contract_info_shfe; futures_contract_info_ine,股票数据; 期货数据,2023-08-08,7,7,,
产品名称,产品名称,,object,输出参数,stock_zyjs_ths; futures_contract_info_czce; amac_securities_info; amac_aoin_info; amac_fund_sub_info; amac_fund_account_info; amac_futures_info,股票数据; 期货数据; 中国基金数据,,7,7,,
会计师事务所,会计师事务所,,object,输出参数,stock_ipo_declare_em; stock_register_all_em; stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,立信会计师事务所(特殊普通合伙),7,7,,
保荐机构,保荐机构,,object,输出参数,stock_ipo_declare_em; stock_register_all_em; stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,,7,7,,
债券名称,债券名称,,object,输出参数,bond_debt_nafmii; bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_corporate_issue_cninfo; bond_cov_issue_cninfo; bond_cov_stock_issue_cninfo; fund_portfolio_bond_hold_em,中国债券数据; 债券数据; 基金数据,绍兴市柯桥区开发经营集团有限公司关于2024年度第一期超短期融资券的注册报告,7,7,,
公告标题,公告标题,,object,输出参数,stock_zh_kcb_report_em; stock_zh_a_disclosure_report_cninfo; stock_zh_a_disclosure_relation_cninfo; stock_notice_report; fund_announcement_dividend_em; fund_announcement_report_em; fund_announcement_personnel_em,股票数据; 基金数据,,7,7,,
净额,净额,,object,输出参数,stock_fund_flow_individual; stock_fund_flow_concept; stock_fund_flow_industry; stock_lhb_yyb_detail_em; stock_lhb_stock_detail_em; stock_lhb_ggtj_sina; stock_lhb_jgzz_sina,股票数据,,7,7,,
发行方式,发行方式,,object,输出参数,stock_allotment_cninfo; stock_add_stock; stock_qbzf_em; bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_corporate_issue_cninfo; bond_cov_issue_cninfo,股票数据; 债券数据,,7,7,,
律师事务所,律师事务所,,object,输出参数,stock_ipo_declare_em; stock_register_all_em; stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,北京观韬中茂律师事务所,7,7,,
成交均价,成交均价,,float64,输出参数,stock_share_hold_change_szse; stock_hold_management_detail_cninfo; stock_hold_management_detail_em; stock_hold_management_person_em; stock_dzjy_mrtj; stock_inner_trade_xq; index_hog_spot_price,股票数据; 期货数据,,7,7,,
招股说明书,招股说明书,,object,输出参数,stock_ipo_declare_em; stock_register_all_em; stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,,7,7,,
拟上市地点,拟上市地点,,object,输出参数,stock_ipo_declare_em; stock_register_all_em; stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,,7,7,,
指数名称,指数名称,,object,输出参数,index_stock_cons_csindex; index_stock_cons_weight_csindex; index_realtime_fund_sw; index_realtime_sw; index_analysis_daily_sw; index_analysis_weekly_sw; index_analysis_monthly_sw,指数数据,,7,7,,
排名,排名,,object,输出参数,stock_zh_valuation_comparison_em; stock_board_concept_name_em; stock_board_industry_name_em; stock_hot_rank_detail_em; stock_hk_hot_rank_detail_em; stock_hot_rank_detail_realtime_em; stock_hk_hot_rank_detail_realtime_em,股票数据,42.0/120,7,7,,
板块,板块,,object,输出参数,stock_hk_security_profile_em; stock_hsgt_fund_flow_summary_em; stock_xgsglb_em; stock_sector_spot; stock_info_sz_name_code; stock_board_industry_summary_ths; stock_changes_em,股票数据,,7,7,,
现价,现价,,float64,输出参数,stock_rank_xzjp_ths; qdii_e_index_jsl; qdii_e_comm_jsl; qdii_a_index_jsl; bond_cb_jsl; bond_cb_redeem_jsl; futures_comm_info,股票数据; QDII数据; 债券数据; 期货数据,,7,7,,
累计,累计,,float64,输出参数,macro_china_fdi; macro_china_new_financial_credit; macro_china_ppi; macro_china_czsr; macro_china_whxd; macro_china_wbck; macro_china_consumer_goods_retail,中国宏观数据; 宏观数据,11200250,7,7,,
累计净值,累计净值,,float,输出参数,fund_open_fund_daily_em; fund_financial_fund_info_em; fund_graded_fund_daily_em; fund_graded_fund_info_em; fund_etf_fund_info_em; fund_open_fund_rank_em; fund_exchange_rank_em,基金数据,,7,7,,
股权登记日,股权登记日,,object,输出参数,stock_allotment_cninfo; stock_fhps_em; stock_fhps_detail_em; stock_gddh_em; stock_history_dividend_detail; stock_dividend_cninfo; stock_pg_em,股票数据,,7,7,,
融资买入额,融资买入额,,float64,输出参数,stock_margin_account_info; stock_margin_sse; stock_margin_detail_sse; stock_margin_szse; stock_margin_detail_szse; macro_china_market_margin_sz; macro_china_market_margin_sh,股票数据; 宏观数据,,7,7,,
融资余额,融资余额,,float64,输出参数,stock_margin_account_info; stock_margin_sse; stock_margin_detail_sse; stock_margin_szse; stock_margin_detail_szse; macro_china_market_margin_sz; macro_china_market_margin_sh,股票数据; 宏观数据,704.53,7,7,,
近1月,近1月,,float64,输出参数,futures_spot_stock; fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_lcx_rank_em; fund_hk_rank_em,期货数据; 基金数据; 基金数据-利率数据,,7,7,,
近3月,近3月,,float64,输出参数,futures_spot_stock; fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_lcx_rank_em; fund_hk_rank_em,期货数据; 基金数据; 基金数据-利率数据,,7,7,,
上榜次数,上榜次数,,int64,输出参数,stock_lhb_stock_statistic_em; stock_lhb_jgstatistic_em; stock_lhb_traderstatistic_em; stock_lh_yyb_most; stock_lhb_ggtj_sina; stock_lhb_yytj_sina,股票数据,,6,6,,
中单净流入-净占比,中单净流入净占比,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,4.02,6,6,,
中单净流入-净额,中单净流入净额,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,,6,6,,
主力净流入-净占比,主力净流入净占比,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,,6,6,,
主力净流入-净额,主力净流入净额,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,,6,6,,
买入,买入,,float64,输出参数,stock_zh_a_spot; stock_zh_b_spot; stock_zh_kcb_spot; stock_zh_ah_spot; bond_zh_hs_spot; fund_etf_category_sina,股票数据; 债券数据; 基金数据,,6,6,,
今年来,今年来,,float64,输出参数,fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_lcx_rank_em; fund_hk_rank_em,基金数据; 基金数据-利率数据,,6,6,,
公告日,公告日,,object,输出参数,stock_ggcg_em; stock_gddh_em; stock_gdfx_free_holding_analyse_em; stock_gdfx_holding_analyse_em; stock_gdfx_free_holding_detail_em; stock_gdfx_holding_detail_em,股票数据,2022-04-30,6,6,,
净利润,净利润,,float64,输出参数,stock_zh_scale_comparison_em; stock_hk_financial_indicator_em; stock_hk_scale_comparison_em; stock_sy_jz_em; stock_sy_em; stock_lrb_em,股票数据,2.351218e+09,6,6,,
卖出,卖出,,float64,输出参数,stock_zh_a_spot; stock_zh_b_spot; stock_zh_kcb_spot; stock_zh_ah_spot; bond_zh_hs_spot; fund_etf_category_sina,股票数据; 债券数据; 基金数据,,6,6,,
受理日期,受理日期,,object,输出参数,stock_register_all_em; stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,,6,6,,
基金类型,基金类型,,object,输出参数,fund_name_em; fund_purchase_em; fund_etf_category_ths; fund_etf_spot_ths; fund_overview_em; fund_new_found_em,基金数据,混合型,6,6,,
大单净流入-净占比,大单净流入净占比,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,,6,6,,
大单净流入-净额,大单净流入净额,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,,6,6,,
季度,季度,,object,输出参数,fund_portfolio_hold_em; fund_portfolio_bond_hold_em; fund_portfolio_change_em; macro_china_enterprise_boom_index; macro_china_national_tax_receipts; macro_china_gdp,基金数据; 中国宏观数据,2024年1季度股票投资明细,6,6,,
审核状态,审核状态,,object,输出参数,stock_ipo_review_em; stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,,6,6,,
小单净流入-净占比,小单净流入净占比,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,0.95,6,6,,
小单净流入-净额,小单净流入净额,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,240002.0,6,6,,
成立来,成立来,,float64,输出参数,fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_lcx_rank_em; fund_hk_rank_em,基金数据; 基金数据-利率数据,,6,6,,
截止日期,截止日期,,object,输出参数,stock_circulate_stock_holder; stock_fund_stock_holder; stock_hold_management_detail_cninfo; fund_scale_change_em; fund_hold_structure_em; macro_china_freight_index,股票数据; 基金数据; 中国宏观数据,2022-09-30,6,6,,
持仓量,持仓量,,int64,输出参数,futures_fees_info; futures_hist_em; futures_foreign_commodity_realtime; futures_global_spot_em; futures_main_sina; macro_china_au_report,期货数据; 宏观数据,,6,6,,
持股数量,持股数量,,float64,输出参数,stock_hsgt_stock_statistics_em; stock_hsgt_individual_em; stock_hsgt_individual_detail_em; stock_circulate_stock_holder; stock_main_stock_holder; stock_yzxdr_em,股票数据,,6,6,,
数据日期,数据日期,,object,输出参数,stock_account_statistics_em; stock_value_em; bond_cash_summary_sse; bond_deal_summary_sse; fund_etf_spot_em; macro_china_stock_market_cap,股票数据; 债券数据; 基金数据; 宏观数据,2015-04,6,6,,
股息率,股息率,,float64,输出参数,stock_a_gxl_lg; stock_hk_gxl_lg; sw_index_third_cons; index_analysis_daily_sw; index_analysis_weekly_sw; index_analysis_monthly_sw,股票数据; 指数数据,2.03,6,6,,
融券余量,融券余量,,int64,输出参数,stock_margin_sse; stock_margin_detail_sse; stock_margin_szse; stock_margin_detail_szse; macro_china_market_margin_sz; macro_china_market_margin_sh,股票数据; 宏观数据,,6,6,,
融券卖出量,融券卖出量,,int64,输出参数,stock_margin_sse; stock_margin_detail_sse; stock_margin_szse; stock_margin_detail_szse; macro_china_market_margin_sz; macro_china_market_margin_sh,股票数据; 宏观数据,148374362,6,6,,
证劵代码,证劵代码,,object,输出参数,stock_new_ipo_cninfo; stock_hold_num_cninfo; stock_hold_control_cninfo; stock_hold_management_detail_cninfo; stock_cg_guarantee_cninfo; stock_cg_lawsuit_cninfo,股票数据,301592,6,6,,
超大单净流入-净占比,超大单净流入净占比,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,,6,6,,
超大单净流入-净额,超大单净流入净额,,float64,输出参数,stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_rank; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; fund_etf_spot_em,股票数据; 基金数据,,6,6,,
近6月,近6月,,float64,输出参数,fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_lcx_rank_em; fund_hk_rank_em,基金数据; 基金数据-利率数据,,6,6,,
REPORT_DATE,REPORT_DATE,REPORT_DATE,object,输出参数,stock_financial_hk_report_em; stock_financial_us_report_em; stock_financial_analysis_indicator_em; stock_financial_hk_analysis_indicator_em; stock_financial_us_analysis_indicator_em,股票数据,,5,5,,
SECUCODE,SECUCODE,SECUCODE,object,输出参数,stock_financial_hk_report_em; stock_financial_us_report_em; stock_financial_analysis_indicator_em; stock_financial_hk_analysis_indicator_em; stock_financial_us_analysis_indicator_em,股票数据,00700.HK,5,5,,
SECURITY_CODE,SECURITY_CODE,SECURITY_CODE,object,输出参数,stock_financial_hk_report_em; stock_financial_us_report_em; stock_financial_analysis_indicator_em; stock_financial_hk_analysis_indicator_em; stock_financial_us_analysis_indicator_em,股票数据,00700,5,5,,
SECURITY_NAME_ABBR,SECURITY_NAME_ABBR,SECURITY_NAME_ABBR,object,输出参数,stock_financial_hk_report_em; stock_financial_us_report_em; stock_financial_analysis_indicator_em; stock_financial_hk_analysis_indicator_em; stock_financial_us_analysis_indicator_em,股票数据,,5,5,,
产品编码,产品编码,,object,输出参数,amac_securities_info; amac_aoin_info; amac_fund_sub_info; amac_fund_account_info; amac_futures_info,中国基金数据,SAHB48,5,5,,
企业名称,企业名称,,object,输出参数,stock_ipo_review_em; stock_ipo_tutor_em; stock_ipo_declare_em; stock_register_all_em; stock_register_db,股票数据,北京维通利电气股份有限公司,5,5,,
公司家数,公司家数,,float64,输出参数,stock_gpzy_industry_data_em; stock_sy_hy_em; stock_fund_flow_concept; stock_fund_flow_industry; stock_sector_spot,股票数据,29,5,5,,
发行人全称,发行人全称,,object,输出参数,stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,,5,5,,
变动后持股数,变动后持股数,,int64,输出参数,stock_share_hold_change_sse; stock_share_hold_change_bse; stock_hold_management_detail_em; stock_hold_management_person_em; stock_inner_trade_xq,股票数据,217000,5,5,,
同比增长,同比增长,,float64,输出参数,macro_china_gyzjz; macro_china_gdzctz; macro_china_whxd; macro_china_wbck; macro_china_consumer_goods_retail,中国宏观数据; 宏观数据,15.4,5,5,,
地区,地区,,object,输出参数,stock_szse_area_summary; stock_info_bj_name_code; macro_info_ws; news_economic_baidu,股票数据; 宏观数据,上海,5,4,,
持股数,持股数,,int64,输出参数,stock_gdfx_free_top_10_em; stock_gdfx_top_10_em; stock_institute_hold_detail; stock_report_fund_hold_detail; fund_portfolio_hold_em,股票数据; 基金数据,,5,5,,
最后交割日,最后交割日,,object,输出参数,futures_contract_info_shfe; futures_contract_info_ine; futures_contract_info_dce; futures_contract_info_czce; futures_contract_info_gfex,期货数据,,5,5,,
最新公告日期,最新公告日期,,object,输出参数,stock_hk_dividend_payout_em; stock_yjbb_em; stock_fhps_em; stock_fhps_detail_em; stock_repurchase_em,股票数据,2025-06-20,5,5,,
期末持股-数量,期末持股数量,,float64,输出参数,stock_gdfx_free_holding_analyse_em; stock_gdfx_holding_analyse_em; stock_gdfx_free_holding_detail_em; stock_gdfx_holding_detail_em; stock_hold_management_detail_cninfo,股票数据,,5,5,,
机构类型,机构类型,,object,输出参数,stock_jgdy_detail_em; amac_member_info; amac_person_bond_org_list; amac_manager_info; amac_manager_classify_info,股票数据; 中国基金数据,,5,5,,
正股代码,正股代码,,object,输出参数,bond_zh_cov; bond_zh_cov_info_ths; bond_cov_comparison; bond_cb_jsl; bond_cb_redeem_jsl,债券数据,,5,5,,
涨停统计,涨停统计,,object,输出参数,stock_zt_pool_em; stock_zt_pool_previous_em; stock_zt_pool_strong_em; stock_zt_pool_sub_new_em; stock_zt_pool_zbgc_em,股票数据,10/6,5,5,,
涨幅,涨幅,,float64,输出参数,stock_xgsglb_em; qdii_e_index_jsl; qdii_e_comm_jsl; qdii_a_index_jsl; futures_global_hist_em,股票数据; QDII数据; 期货数据,,5,5,,
涨跌,涨跌,,float64,输出参数,bond_spot_deal; stock_zh_index_hist_csindex; futures_hist_em; futures_index_ccidx; macro_china_au_report,中国债券数据; 指数数据; 期货数据; 宏观数据,-0.80,5,5,,
申购日期,申购日期,,object,输出参数,stock_xgsglb_em; stock_new_ipo_cninfo; bond_zh_cov; bond_zh_cov_info_ths; bond_cov_comparison,股票数据; 债券数据,,5,5,,
职务,职务,,object,输出参数,stock_share_hold_change_sse; stock_share_hold_change_szse; stock_share_hold_change_bse; stock_hold_management_detail_em; stock_hold_management_person_em,股票数据,高级管理人员,5,5,,
融券余额,融券余额,,float64,输出参数,stock_margin_account_info; stock_margin_szse; stock_margin_detail_szse; macro_china_market_margin_sz; macro_china_market_margin_sh,股票数据; 宏观数据,15.31,5,5,,
融资融券余额,融资融券余额,,int64,输出参数,stock_margin_sse; stock_margin_szse; stock_margin_detail_szse; macro_china_market_margin_sz; macro_china_market_margin_sh,股票数据; 宏观数据,884073962481,5,5,,
行业代码,行业代码,,object,输出参数,stock_analyst_rank_em; stock_irm_cninfo; sw_index_first_info; sw_index_second_info; sw_index_third_info,股票数据; 指数数据,270000,5,5,,
行业名称,行业名称,,object,输出参数,stock_sy_hy_em; stock_industry_pe_ratio_cninfo; sw_index_first_info; sw_index_second_info; sw_index_third_info,股票数据; 指数数据,游戏,5,5,,
解禁数量,解禁数量,,float64,输出参数,stock_restricted_release_queue_sina; stock_restricted_release_summary_em; stock_restricted_release_detail_em; stock_restricted_release_queue_em; stock_restricted_release_stockholder_em,股票数据,124831.65,5,5,,
证监会行业,证监会行业,,object,输出参数,stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj,股票数据,,5,5,,
货币种类,货币种类,,object,输出参数,stock_sgt_settlement_exchange_rate_szse; stock_sgt_settlement_exchange_rate_sse; stock_sgt_reference_exchange_rate_szse; stock_sgt_reference_exchange_rate_sse; stock_share_hold_change_sse,股票数据-汇率数据; 股票数据,HKD,5,5,,
转股价值,转股价值,,float64,输出参数,bond_zh_cov; bond_cov_comparison; bond_zh_cov_value_analysis; bond_cb_jsl,债券数据,,5,4,,
转股溢价率,转股溢价率,,float64,输出参数,bond_zh_cov; bond_cov_comparison; bond_zh_cov_value_analysis; bond_cb_jsl,债券数据,,5,4,,
近1周,近1周,,float64,输出参数,fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_lcx_rank_em; fund_hk_rank_em,基金数据; 基金数据-利率数据,,5,5,,
近1年,近1年,,float64,输出参数,fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_hk_rank_em,基金数据,,5,5,,
近2年,近2年,,float64,输出参数,fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_hk_rank_em,基金数据,,5,5,,
近3年,近3年,,float64,输出参数,fund_info_index_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_hk_rank_em,基金数据,,5,5,,
A股代码,A股代码,A,object,输出参数,stock_zh_ab_comparison_em; stock_zh_ah_spot_em; stock_profile_cninfo; stock_info_sz_name_code,股票数据,000026,4,4,,
ESG评分,ESG评分,ESG,object,输出参数,stock_esg_msci_sina; stock_esg_rft_sina; stock_esg_zd_sina; stock_esg_hz_sina,股票数据,AAA,4,4,,
O/N-定价,ON定价,O,float64,输出参数,macro_china_shibor_all; macro_china_hk_market_info,宏观数据,1.4430,4,2,,
O/N-涨跌幅,ON涨跌幅,O,float64,输出参数,macro_china_shibor_all; macro_china_hk_market_info,宏观数据,,4,2,,
metric_name,metric_name,metric_name,object,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,,4,4,,
mom,mom,mom,object,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,,4,4,,
position,position,position,int64,输出参数,futures_zh_realtime; fund_stock_position_lg; fund_balance_position_lg; fund_linghuo_position_lg,期货数据; 基金数据,,4,4,,
quarter_name,quarter_name,quarter_name,object,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,,4,4,,
report_date,report_date,report_date,object,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,2024-12-31,4,4,,
report_name,report_name,report_name,object,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,2024年报,4,4,,
report_period,report_period,report_period,object,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,2024-4,4,4,,
single,single,single,object,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,,4,4,,
single_yoy,single_yoy,single_yoy,object,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,,4,4,,
turnover,turnover,turnover,float64,输出参数,stock_zh_a_daily; stock_zh_b_daily; stock_zh_kcb_daily; get_futures_daily,股票数据; 期货数据,,4,4,,
xxxx预测每股收益,xxxx预测每股收益,xxxx,float64,输出参数,stock_profit_forecast_em,股票数据,,4,1,,
yoy,yoy,yoy,float64,输出参数,stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_abstract_new_ths,股票数据,,4,4,,
上市日,上市日,,object,输出参数,stock_pg_em; futures_contract_info_shfe; futures_contract_info_ine; futures_contract_info_cffex,股票数据; 期货数据; 中国期货数据,2023-12-25,4,4,,
交易单位,交易单位,,int64,输出参数,futures_contract_info_dce; futures_contract_info_czce; futures_contract_info_gfex; futures_foreign_detail,期货数据,10,4,4,,
今日涨跌幅,今日涨跌幅,,float64,输出参数,stock_hsgt_hold_stock_em; stock_individual_fund_flow_rank; stock_sector_fund_flow_rank; stock_sector_fund_flow_summary,股票数据,,4,4,,
公司名称,公司名称,,object,输出参数,stock_hk_company_profile_em; stock_profile_cninfo; stock_new_gh_cninfo; stock_share_hold_change_sse,股票数据,绿城中国控股有限公司,4,4,,
