参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
name,name,name,str,输入参数,stock_hold_management_person_em; stock_intraday_sina; stock_zh_a_new; stock_sector_detail; stock_info_a_code_name; stock_info_change_name; bond_info_detail_cm; futures_zh_realtime,股票数据; 中国债券数据; 期货数据,,8,8,未提供样本值,用于股票数据，出现在1个接口中
stock,stock,stock,str,输入参数,stock_individual_fund_flow; stock_financial_report_sina; stock_financial_hk_report_em; stock_financial_us_report_em; stock_ipo_info; stock_main_stock_holder; stock_institute_hold_detail,股票数据,,7,7,未提供样本值,用于股票数据，出现在7个接口中
code,code,code,str,输入参数,fund_hk_fund_hist_em; stock_zh_a_new; stock_sector_detail; stock_info_a_code_name; futures_hq_subscribe_exchange_symbol,基金数据; 股票数据; 期货数据,,5,5,未提供样本值,用于基金数据，出现在1个接口中
cookie,cookie,cookie,str,输入参数,news_trade_notify_dividend_baidu; qdii_e_index_jsl; qdii_e_comm_jsl; qdii_a_index_jsl; bond_cb_jsl,股票数据; QDII数据; 债券数据,,5,5,未提供样本值,用于债券数据; 股票数据; QDII数据，出现在5个接口中
token,token,token,str,输入参数,stock_individual_basic_info_xq; stock_individual_spot_xq; stock_individual_basic_info_us_xq; stock_individual_basic_info_hk_xq,股票数据,,4,4,未提供样本值,用于股票数据，出现在4个接口中
year,year,year,str,输入参数,stock_analyst_rank_em; fund_fh_em; fund_cf_em; fund_aum_hist_em,股票数据; 基金数据,,4,4,未提供样本值,用于基金数据; 股票数据，出现在4个接口中
kind,kind,kind,str,输入参数,macro_china_nbs_nation; macro_china_nbs_region; stock_intraday_sina,中国宏观数据; 股票数据,,3,3,未提供样本值,用于中国宏观数据，出现在2个接口中
0,0,,V0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
1,1,,P0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
10,10,,Y0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
11,11,,C0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
12,12,,A0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
13,13,,J0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
14,14,,JM0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
15,15,,CS0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
16,16,,EG0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
17,17,,RR0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
18,18,,EB0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
19,19,,LH0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
2,2,,B0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
20,20,,TA0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
21,21,,OI0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
22,22,,RS0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
23,23,,RM0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
24,24,,ZC0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
